Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
0,0.5375202894210815,0.551048994064331,0.48750001192092896,0.5,0.7548513412475586,0.21814686059951782,0.5221004486083984
1,0.5630295276641846,0.5780870914459229,0.5,0.512499988079071,0.6080120801925659,0.3785054087638855,0.5302258729934692
2,0.584993302822113,0.5880861282348633,0.4781250059604645,0.4937500059604645,0.4332761764526367,0.5635769367218018,0.5191923379898071
3,0.5857640504837036,0.5824846029281616,0.4921875,0.5250000357627869,0.3409181237220764,0.6557059288024902,0.49919283390045166
4,0.5811852216720581,0.5836374759674072,0.4937500059604645,0.543749988079071,0.3472102880477905,0.6498495936393738,0.492032527923584
5,0.5845606327056885,0.5890311002731323,0.4984374940395355,0.543749988079071,0.4070131778717041,0.5916084051132202,0.49900227785110474
6,0.5901653170585632,0.5920109748840332,0.5,0.45625001192092896,0.4800443649291992,0.5192070007324219,0.5144109129905701
7,0.5929921269416809,0.5936298966407776,0.4609375,0.5,0.5235452651977539,0.4771665930747986,0.5309398770332336
8,0.5948312878608704,0.5969115495681763,0.49687501788139343,0.543749988079071,0.5177890062332153,0.4841722249984741,0.5367937088012695
9,0.5974014401435852,0.6001459360122681,0.5140625238418579,0.5062500238418579,0.48131120204925537,0.5190236568450928,0.5324356555938721
10,0.5989671945571899,0.6016662120819092,0.503125011920929,0.518750011920929,0.45381152629852295,0.5436700582504272,0.5250751376152039
11,0.5998188257217407,0.6032073497772217,0.520312488079071,0.543749988079071,0.46099305152893066,0.5364938974380493,0.5223656892776489
12,0.601420521736145,0.6047006845474243,0.543749988079071,0.543749988079071,0.4911435842514038,0.5087987184524536,0.5288926362991333
13,0.6029075384140015,0.6057509779930115,0.543749988079071,0.5625,0.51480633020401,0.48718464374542236,0.5437980890274048
14,0.6040723323822021,0.6074329018592834,0.5406250357627869,0.5687500238418579,0.5152796506881714,0.4868844151496887,0.5604255199432373
15,0.605650782585144,0.6097050309181213,0.5484375357627869,0.5625,0.5017929077148438,0.49906402826309204,0.5718979835510254
16,0.6075459122657776,0.6118862628936768,0.5484375357627869,0.5625,0.494981586933136,0.5052968859672546,0.5779623985290527
17,0.6094704866409302,0.6134234666824341,0.5562500357627869,0.574999988079071,0.5031914114952087,0.4997682571411133,0.584159791469574
18,0.610893189907074,0.6145153641700745,0.559374988079071,0.574999988079071,0.5101730823516846,0.49696850776672363,0.5931148529052734
19,0.6119676232337952,0.6156402230262756,0.559374988079071,0.581250011920929,0.5071940422058105,0.5034826993942261,0.6067466139793396
20,0.612933874130249,0.6165889501571655,0.5640625357627869,0.574999988079071,0.5039793848991394,0.5107197761535645,0.6251228451728821
21,0.6137666702270508,0.6172771453857422,0.565625011920929,0.581250011920929,0.5082118511199951,0.512169599533081,0.6443475484848022
22,0.6144878268241882,0.6178170442581177,0.5640625357627869,0.5875000357627869,0.5149670839309692,0.5121222734451294,0.6597305536270142
23,0.6151318550109863,0.6184216737747192,0.5640625357627869,0.581250011920929,0.5167309045791626,0.5168986320495605,0.6695930361747742
24,0.6157939434051514,0.6191082000732422,0.5703125,0.581250011920929,0.5153551697731018,0.5247904658317566,0.6758278608322144
25,0.6165122985839844,0.6198100447654724,0.574999988079071,0.581250011920929,0.5166987180709839,0.5308660268783569,0.6810378432273865
26,0.6173095703125,0.6205476522445679,0.5765625238418579,0.581250011920929,0.5199533104896545,0.5358598232269287,0.685982346534729
27,0.6181771755218506,0.6213895082473755,0.574999988079071,0.574999988079071,0.5203496217727661,0.5437512397766113,0.6899306774139404
28,0.6191189289093018,0.6223195195198059,0.5796875357627869,0.59375,0.5183674097061157,0.5543002486228943,0.692518949508667
29,0.6201404333114624,0.6232622265815735,0.578125,0.606249988079071,0.5181107521057129,0.5644758939743042,0.6942931413650513
30,0.6212455630302429,0.6242281198501587,0.5718750357627869,0.606249988079071,0.5194357633590698,0.5746105909347534,0.6960241794586182
31,0.6224399209022522,0.6252906322479248,0.5796875357627869,0.59375,0.5190088152885437,0.5874192714691162,0.6983368396759033
32,0.623745322227478,0.6264563798904419,0.557812511920929,0.5875000357627869,0.5170677304267883,0.6028729677200317,0.7015137672424316
33,0.6251732110977173,0.6276593804359436,0.543749988079071,0.5625,0.5169086456298828,0.6187065839767456,0.704784631729126
34,0.6266936659812927,0.6288456916809082,0.5234375,0.53125,0.5199865102767944,0.6337889432907104,0.7059289216995239
35,0.6282196640968323,0.6299673914909363,0.518750011920929,0.5250000357627869,0.5253860354423523,0.647842288017273,0.7026820182800293
36,0.629623532295227,0.6309894919395447,0.5140625238418579,0.5062500238418579,0.5283843278884888,0.6622615456581116,0.697500467300415
37,0.6307876110076904,0.6318107843399048,0.512499988079071,0.5062500238418579,0.5323048830032349,0.672907829284668,0.6928305625915527
38,0.6317291855812073,0.6325896978378296,0.512499988079071,0.512499988079071,0.5375320911407471,0.6798209547996521,0.6917001008987427
39,0.6326510310173035,0.6335282325744629,0.5093750357627869,0.5062500238418579,0.540668249130249,0.6870344281196594,0.696250319480896
40,0.6337565779685974,0.6345663070678711,0.5062500238418579,0.5062500238418579,0.5403914451599121,0.6947044134140015,0.703874409198761
41,0.6349402666091919,0.6356039643287659,0.503125011920929,0.5062500238418579,0.5404883623123169,0.6985102295875549,0.7076351642608643
42,0.6361585855484009,0.636771559715271,0.5062500238418579,0.512499988079071,0.5393877625465393,0.698369026184082,0.702251672744751
43,0.6374775171279907,0.6380385756492615,0.510937511920929,0.53125,0.538519024848938,0.6941976547241211,0.6791706085205078
44,0.6387910842895508,0.6390563249588013,0.526562511920929,0.550000011920929,0.5360132455825806,0.6926593780517578,0.6547666788101196
45,0.6399654150009155,0.6402323246002197,0.5234375,0.550000011920929,0.5440149307250977,0.6929752230644226,0.6555629372596741
46,0.6413301229476929,0.641569972038269,0.5250000357627869,0.550000011920929,0.5516535043716431,0.6995059847831726,0.6662883162498474
47,0.6427590250968933,0.6431442499160767,0.528124988079071,0.5562500357627869,0.549347996711731,0.7099997401237488,0.6637167930603027
48,0.6442270874977112,0.6448121070861816,0.5375000238418579,0.5562500357627869,0.5451478362083435,0.7182155847549438,0.6564021110534668
49,0.6456778049468994,0.646554172039032,0.543749988079071,0.5562500357627869,0.5499256253242493,0.7195134162902832,0.6556656956672668
50,0.6472578048706055,0.6483805179595947,0.542187511920929,0.5625,0.5569174289703369,0.7160294651985168,0.6555293798446655
51,0.6489498019218445,0.6503649353981018,0.543749988079071,0.5625,0.5578737854957581,0.7109827995300293,0.6498363018035889
52,0.6508269309997559,0.6525585651397705,0.5453125238418579,0.5625,0.5570268630981445,0.7038103938102722,0.6442742347717285
53,0.6529709100723267,0.6550945043563843,0.551562488079071,0.5562500357627869,0.5587819814682007,0.6923753023147583,0.6448168158531189
54,0.6555995941162109,0.658160924911499,0.5640625357627869,0.5687500238418579,0.5614808797836304,0.6712902784347534,0.6448312997817993
55,0.6590590476989746,0.6619864106178284,0.59375,0.6312500238418579,0.5634192824363708,0.6332751512527466,0.6425923109054565
56,0.6637536287307739,0.6655008792877197,0.6500000357627869,0.668749988079071,0.564814567565918,0.5782246589660645,0.6428754329681396
57,0.6686058044433594,0.6699362993240356,0.6734375357627869,0.6937500238418579,0.5476557016372681,0.5798994898796082,0.631942868232727
58,0.673643946647644,0.6765678524971008,0.698437511920929,0.7250000238418579,0.5498082637786865,0.6021167039871216,0.6029949188232422
59,0.679705023765564,0.6831871271133423,0.699999988079071,0.706250011920929,0.5668908357620239,0.6216013431549072,0.6237140893936157
60,0.686562716960907,0.6897232532501221,0.731249988079071,0.737500011920929,0.5890887975692749,0.591313362121582,0.58831787109375
61,0.692200779914856,0.6943695545196533,0.7421875,0.75,0.596443772315979,0.5950636863708496,0.5969756841659546
62,0.6967340707778931,0.6978945732116699,0.754687488079071,0.75,0.6064870357513428,0.5889713764190674,0.5886571407318115
63,0.70111483335495,0.7024751901626587,0.768750011920929,0.7562500238418579,0.6011562347412109,0.605772852897644,0.5690581798553467
64,0.7054451704025269,0.7059551477432251,0.78125,0.768750011920929,0.6052629947662354,0.5868924856185913,0.5622820854187012
65,0.709740161895752,0.7105348110198975,0.7906250357627869,0.7750000357627869,0.6099382042884827,0.5776785612106323,0.5560492277145386
66,0.7144745588302612,0.714936375617981,0.807812511920929,0.7875000238418579,0.6219282150268555,0.5595811605453491,0.5459662675857544
67,0.7189142107963562,0.7194653749465942,0.824999988079071,0.800000011920929,0.6307273507118225,0.5521595478057861,0.5455297231674194
68,0.7238154411315918,0.7237738966941833,0.840624988079071,0.8125,0.6354666352272034,0.535025954246521,0.5313962697982788
69,0.72821044921875,0.7278141975402832,0.856249988079071,0.831250011920929,0.6380969285964966,0.523978590965271,0.5335402488708496
70,0.7329317927360535,0.7320242524147034,0.862500011920929,0.831250011920929,0.642454206943512,0.5135626792907715,0.5221658945083618
71,0.7373313307762146,0.7359241247177124,0.8734375238418579,0.831250011920929,0.6501840353012085,0.5044825077056885,0.5221449732780457
72,0.7418834567070007,0.7400659918785095,0.8765625357627869,0.862500011920929,0.6569236516952515,0.4979493021965027,0.515754759311676
73,0.7464048862457275,0.7437995672225952,0.8843750357627869,0.8687500357627869,0.6630114912986755,0.4858604669570923,0.5136842727661133
74,0.7507979869842529,0.7477757930755615,0.8890625238418579,0.8687500357627869,0.6677784323692322,0.4809578061103821,0.510062575340271
75,0.7553248405456543,0.7514492869377136,0.895312488079071,0.875,0.6727712154388428,0.47111260890960693,0.5047276616096497
76,0.7595824599266052,0.7551550269126892,0.9046875238418579,0.887499988079071,0.6774831414222717,0.4654504060745239,0.5019447803497314
77,0.7639322280883789,0.7587554454803467,0.9125000238418579,0.893750011920929,0.6817210912704468,0.45750027894973755,0.49703699350357056
78,0.7680270075798035,0.7621936798095703,0.9156250357627869,0.90625,0.6860342621803284,0.44912320375442505,0.49516451358795166
79,0.7721214294433594,0.7656459808349609,0.9203125238418579,0.90625,0.690487802028656,0.4425439238548279,0.49086666107177734
80,0.7760510444641113,0.7688865661621094,0.925000011920929,0.918749988079071,0.695184588432312,0.4343082308769226,0.4885982275009155
81,0.7799543142318726,0.7721104025840759,0.925000011920929,0.918749988079071,0.6996021270751953,0.42738568782806396,0.48398178815841675
82,0.7837132215499878,0.7751920223236084,0.9359375238418579,0.925000011920929,0.7037768363952637,0.4206475019454956,0.4815366268157959
83,0.7874627113342285,0.7781964540481567,0.940625011920929,0.925000011920929,0.7074242830276489,0.41276687383651733,0.47686105966567993
84,0.7910747528076172,0.7810832262039185,0.9453125,0.9375,0.7111514210700989,0.40691661834716797,0.4741210341453552
85,0.7946847677230835,0.7838144302368164,0.9468750357627869,0.9375,0.7145920991897583,0.39972931146621704,0.4696066975593567
86,0.7982327342033386,0.786367654800415,0.949999988079071,0.9375,0.7181036472320557,0.39362633228302,0.4661252498626709
87,0.8017427325248718,0.7889090776443481,0.949999988079071,0.9375,0.7217727899551392,0.3880012035369873,0.4624321460723877
88,0.8051525354385376,0.7916224598884583,0.9515625238418579,0.9437500238418579,0.7261068224906921,0.38123559951782227,0.459605872631073
89,0.8084454536437988,0.7944999933242798,0.957812488079071,0.9437500238418579,0.7311049699783325,0.3743003010749817,0.456943154335022
90,0.811619758605957,0.7974419593811035,0.957812488079071,0.9437500238418579,0.7363232374191284,0.3675467371940613,0.4547903537750244
91,0.8147028684616089,0.8004214763641357,0.9593750238418579,0.9437500238418579,0.7410346865653992,0.3599246144294739,0.45217663049697876
92,0.8176873922348022,0.8033458590507507,0.957812488079071,0.9437500238418579,0.7451915740966797,0.3529684543609619,0.4495634436607361
93,0.8205709457397461,0.8061956167221069,0.9593750238418579,0.9375,0.7488598823547363,0.34637677669525146,0.44657695293426514
94,0.8233722448348999,0.8089635372161865,0.9593750238418579,0.9375,0.7521809935569763,0.33960461616516113,0.4432417154312134
95,0.8260887861251831,0.8116114139556885,0.9609375,0.9375,0.7554255723953247,0.3333612084388733,0.43975329399108887
96,0.8287236094474792,0.8141356706619263,0.9609375,0.9375,0.7586866617202759,0.32744401693344116,0.43605929613113403
97,0.8312784433364868,0.8165417313575745,0.9609375,0.9375,0.7619544863700867,0.32146674394607544,0.4322456121444702
